"PRODUCT SERVICE CODE","DESCRIPTION","NAICS","SERVICE CATEGORY","NAICS TITLE"
"H335","Inspection- service and trade equipment",561210,"Operations and Maintenance","Facilities Support Services"
"H341","Inspection- refrigeration, air conditioning, and air circulating equipment",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"H345","Inspection- plumbing, heating, and waste disposal equipment",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"H348","Inspect SVCS/valves",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"H359","Inspection- electrical and electronic equipment components",238210,"Electrical Maintenance","Electrical Contractors and Other Wiring Installation Contractors"
"H363","Inspection- alarm, signal, and security detection systems",561621,"Fire Alarm System Maintenance and Repair","Security Systems Services (except locksmiths)"
"J034","Maint/repair/rebuild of equipment- metalworking machinery",561210,"Operations and Maintenance","Facilities Support Services"
"J035","Maint/repair/rebuild of equipment- service and trade equipment",561210,"Operations and Maintenance","Facilities Support Services"
"J039","Maint-repair of materials handling equip",561210,"Operations and Maintenance","Facilities Support Services"
"J041","Maint-repair of refrigeration - AC equip",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"J043","Maint/repair/rebuild of equipment- pumps and compressors",561210,"Operations and Maintenance","Facilities Support Services"
"J044","Maint/repair/rebuild of equipment- furnace, steam plant, and drying equipment",561210,"Operations and Maintenance","Facilities Support Services"
"J045","Maint/repair/rebuild of equipment- plumbing, heating, and waste disposal equip",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"J046","Maint-repair of water purification equip",561210,"Operations and Maintenance","Facilities Support Services"
"J047","Maint/repair/rebuild of equipment- pipe, tubing, hose, and fittings",561210,"Operations and Maintenance","Facilities Support Services"
"J048","Maint/repair/rebuild of equipment- valves",561210,"Operations and Maintenance","Facilities Support Services"
"J049","Maint/repair/rebuild of equipment- maintenance and repair shop equipment",561210,"Operations and Maintenance","Facilities Support Services"
"J061","Maint/repair/rebuild of equipment- electric wire and power distribution equip",238210,"Electrical Maintenance","Electrical Contractors and Other Wiring Installation Contractors"
"J062","Maint/repair/rebuild of equipment- lighting fixtures and lamps",238210,"Electrical Maintenance","Electrical Contractors and Other Wiring Installation Contractors"
"J063","Maint-repair of alarm signal system",561621,"Fire Alarm System Maintenance and Repair","Security Systems Services (except locksmiths)"
"J072","Maint-repair of household furnishings",531312,"Building Management Services","Nonresidential Property Managers"
"N041","Installation of equipment- refrigeration, air conditioning, and air circulation",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"N043","Installation of equipment- pumps and compressors",561210,"Operations and Maintenance","Facilities Support Services"
"N045","Installation of equipment- plumbing, heating, and waste disposal equipment",238220,"HVAC Maintenance","Plumbing, Heating, and Air-Conditioning Contractors"
"N059","Installation of equipment- electrical and electronic equipment components",238210,"Electrical Maintenance","Electrical Contractors and Other Wiring Installation Contractors"
"N063","Install of alarm signal system",561621,"Fire Alarm System Maintenance and Repair","Security Systems Services (except locksmiths)"
"S201","Housekeeping- custodial janitorial",561720,"Janitorial","Janitorial Services"
"S202","Housekeeping- fire protection",561210,"Operations and Maintenance","Facilities Support Services"
"S205","Housekeeping- trash/garbage collection",561720,"Janitorial","Janitorial Services"
"S207","Housekeeping- insect/rodent control",561710,"Pest Control","Exterminating and Pest Control Services"
"S208","Landscaping/groundskeeping services",561730,"Landscaping/Grounds Maintenance","Landscaping Services"
"S214","Housekeeping- carpet laying/cleaning",561210,"Operations and Maintenance","Facilities Support Services"
"S216","Housekeeping- facilities operations support",561210,"Operations and Maintenance","Facilities Support Services"
"S218","Housekeeping- snow removal/salt",561210,"Operations and Maintenance","Facilities Support Services"
"S299","Other housekeeping services",561210,"Operations and Maintenance","Facilities Support Services"
"Z1AA","Maintenance of office buildings",561210,"Operations and Maintenance","Facilities Support Services"
"Z1DA","Maintenance of hospitals and infirmaries",561210,"Operations and Maintenance","Facilities Support Services"
"Z1DB","Maintenance of laboratories and clinics",561210,"Operations and Maintenance","Facilities Support Services"
"Z1DZ","Maintenance of other hospital buildings",561210,"Operations and Maintenance","Facilities Support Services"
"Z111","Maint/repair/alt- office bldgs",561210,"Operations and Maintenance","Facilities Support Services"
"Z141","Maint/repair/alt- hospitals; infirmary",561210,"Operations and Maintenance","Facilities Support Services"
"Z142","Maint/repair/alt- labs; clinics",561210,"Operations and Maintenance","Facilities Support Services"
