OASIS SB Pool 2 Contract Numbers,POOL 2 OASIS Small Business (SB) Contractor Name and Address,POOL 2 Corporate OASIS SB Contract Manager (COCM),POOL 2 Corporate OASIS SB Program Manager (COPM),
,Addx Corporation, Lydia Theunissen, John Millward,
GS00Q14OADS201,"4900 Seminary Road, Suite 570", 571-451-0300, 571-451-0496,
,"Alexandria, VA  22311", ltheunissen@addxcorp.com, jmillward@addxcorp.com,
,"DRT Strategies, Inc.", Geoffrey McDermott, Michael Duffy,
GS00Q14OADS203,"4245 N. Fairfax Drive, Suite 800", 571-482-2502, 571-482-2510,
,"Arlington, VA  22203", gmcdermott@drtstrategies.com, mduffy@drtstrategies.com,
,"FI Consulting, Inc.", Allison Kirsch,  Derek Davison,
GS00Q14OADS204,"1101 Wilson Blvd., Suite 1810", 571-255-6771,  571-255-6762,
,"Arlington, VA  22209", kirsch@ficonsulting.com,  davison@ficonsulting.com,
,"Fors Marsh Group, LLC", Ben Garthwaite, Ben Garthwaite,
GS00Q14OADS205,"1010 N. Glebe Road, Suite 510", 571-858-3799, 571-858-3799,
,"Arlington, VA  22201", bgarthwaite@forsmarshgroup.com, bgarthwaite@forsmarshgroup.com,
,"Miracle Systems, LLC", Sandesh Sharda, Sandesh Sharda,
GS00Q14OADS207,"1215 South Clark Street, Suite 400", 571-331-1355, 571-331-1355,
,"Arlington, VA  22202", ssharda@miraclesystems.net, ssharda@miraclesystems.net,
,"Ruchman and Associates, Inc.", James Liang, James Liang,
GS00Q14OADS209,"8221 Preston Court, Suite A", 301-776-5000, 301-776-5000,
,"Jessup, MD  20794", info@ruchman.com, info@ruchman.com,
