OASIS SB Pool 5A Contract Numbers,POOL 5A OASIS Small Business (SB) Contractor Name and Address,POOL 5A Corporate OASIS SB Contract Manager (COCM),POOL 5A Corporate OASIS SB Program Manager (COPM),
,"Analytical Services and Materials, Inc.",  Dr. G. Balasubramanian, Dr. Jalaiah Unnam ,
GS00Q14OADS501,107 Research Drive, 757-865-7093 x 311, 757-865-7093 x 306,
,"Hampton, VA  23666", bala@asm-usa.com, junnam@asm-usa.com,
,COLSA Corporation, Charlotte Curry, Scott Gilson,
GS00Q14OADS503,6728 Odyssey Drive, 256-964-5237, 719-638-7921 x 102,
,"Huntsville, AL  35806", ccurry@colsa.com, sgilson@colsa.com,
,Decisive Analytics Corporation, April Lesho, Shawn Shanley,
GS00Q14OADS504,"1400 Crystal Drive, Suite 1400", 703-414-5004, 703-682-0751,
,"Arlington, VA  22202",  april.lesho@dac.us, shawn.shanley@dac.us,
,Fulcrum IT Services, Jim Janulis, Eric Vazquez,
GS00Q14OADS505,"5870 Trinity Parkway, Suite 400", 703-543-2911, 703-543-2930          ,
,"Centreville, VA  20120", jjanulis@fulcrumit.com,  evazquez@fulcrumit.com        ,
,"HX5, LLC", Todd Burkhardt, Charlie Minter,
GS00Q14OADS506,"212 Eglin Parkway, SE", 850-362-6551, 850-362-6551,
,"Fort Walton Beach, FL 32548", Todd.Burkhardt@hxfive.com,Charlie.Minter@hxfive.com,
,"Intrepid, LLC", Jane Northrop, Matthew Schmitz,
GS00Q14OADS507,360B Quality Circle, 256-705-6848, 256-705-6826,
,"Huntsville, AL 35806", jane.northrop@intrepidinc.com, matthew.schmitz@intrepidinc.com,
,Intuitive Research and Technology Corporation, Donna Meadows, Donna Meadows,
GS00Q14OADS508,"5030 Bradford Drive, NW, Bldg. 2., Suite 205", 256-922-9300 x 120, 256-922-9300 x 120,
,"Huntsville, AL  35805", donna.meadows@irtc-hq.com, donna.meadows@irtc-hq.com,
,"MCR Federal, LLC", Debra Ferguson, Debra Lehman,
GS00Q14OADS509,"2010 Corporate Ridge, Suite 350", 703-740-2236, 703-740-2238,
,"McLean, VA  22102", OASIS.COCM@mcri.com, OASIS.COPM@mcri.com,
,"MEI Technologies, Inc.", Suzanne Carter, Ed Emig,
GS00Q14OADS510,"8050 Saturn Lane, Suite 300", 281-823-6238, 281-823-6223,
,"Houston, TX  77058", Suzanne.Carter@meitechinc.com, Ed.Emig@meitechinc.com,
,"Modern Technology Solutions, Inc.", Carol A. Maus, Mark Lester,
GS00Q14OADS511,"5285 Shawnee Road, Suite 400", 937-426-9025 x 116, 719-445-2590,
,"Alexandria, VA  22312", oasis@mtsi-va.com., oasis@mtsi-va.com.,
,"PE Systems, Inc.", Kevin Dyson, David M. Zivich,
GS00Q14OADS512,"10201 Fairfax Blvd., Suite 400", 703-246-9663, 703-246-9664,
,"Fairfax, VA  22030",OASIS@pesystems.com,OASIS@pesystems.com,
,"Quantech Services, Inc.", Robert H. Materna, Bob Paradiso,
GS00Q14OADS513,"91 Hartwell Avenue, 3rd Floor", 781-457-0330, 781-457-0308,
,"Lexington, MA  02421", Quantech-C-OASIS@quantechserv.com, Quantech-C-OASIS@quantechserv.com,
,"QuantiTech, Inc.", Elaine D. Jones, James (Jim) A. Roy,
GS00Q14OADS514,"7027 Old Madison Pike, Suite 106", 256-799-0669, 256-714-1111,
,"Huntsville, AL  35806",OASISSB@quantitech.com,OASISSB@quantitech.com,
,"Radiance Technologies, Inc.", Victor D. Balch, David Diaddario,
GS00Q14OADS515,350 Wynn Drive , 256-489-8966, 256-325-7859,
,"Huntsville, AL  35805", vbalch@radiancetech.com, ddiaddario@radiancetech.com,
,"Sierra Lobo, Inc.",Jeffrey (Jeff) Sultzbaugh, Steve Kihara,
GS00Q14OADS516,102 Pinnacle Drive,419-499-9653 x 104, 408-807-4397,
,"Fremont, OH  43420",jsultzbaugh@sierralobo.com, skihara@sierralobo.com,
,"Sigmatech, Inc.", Debbie Gerrity, Michael O. Callahan,
GS00Q14OADS517,4901-C Corporate Drive, 256-319-9212, 256-382-1188,
,"Huntsville, AL  35805", Debbie.gerrity@sigmatech.com, Mike.callahan@sigmatech.com,
,"Spectrum Comm, Inc.", Crystal Clark, Serdar Gokcen,
GS00Q14OADS518,"One Compass Way, Suite 300", 757-224-7500 x 5537, 757-224-7500 x 5553,
,"Newport News, VA  23606", oasis@sptrm.com, oasis@sptrm.com,
,"SURVICE Engineering Company, LLC", Liz Seaburn, Jordan Matthews,
GS00Q14OADS519,4695 Millennium Drive, 410-273-7722 x 207, 410-273-7722 x 226,
,"Belcamp, MD  21017", liz.seaburn@survice.com, jordan.matthews@survice.com,
,"Tecolote Research, Inc.", Elizabeth Hawes, Blaine Webber,
GS00Q14OADS520,"420 S. Fairview Avenue, Suite 201", 805-571-6366 x 126, 310-640-4700 x 2651,
,"Goleta, CA  93117", ehawes@tecolote.com,  bwebber@tecolote.com,
,"Torch Technologies, Inc.", Kenneth W. Lones, Clay Hagan,
GS00Q14OADS521,"4035 Chris Drive, Suite C", 256-319-6019, 256-319-6045,
,"Huntsville, AL  35802", kenneth.lones@torchtechnologies.com, clay.hagan@torchtechnologies.com,
,Universal Technology Corporation, Donna Varner, William D. Hack,
GS00Q14OADS522,1270 N. Fairfield Road, 937-426-2808, 937-426-2808,
,"Dayton, OH  45432", dvarner@utcdayton.com, bhack@utcdayton.com,
