OASIS Pool 5B Contractor Name,OASIS Pool 5B Contract Number,DUNS Number,COCM Name,COCM Phone,COCM Email,COPM Name,COPM Phone,COPM Email
"Applied Research Associates, Inc., dba ARA",GS00Q14OADU601,097967608,Marissa Otero,505-881-8074,ARA_OASIS_SB@ara.com,"James ""PeeWee"" Wertz",505-883-3636,ARA_OASIS_SB@ara.com
Battelle Memorial Institute,GS00Q14OADU602,007901598,Joyce Erdman,410-306-8510,OASIS@battelle.org,Satya P. Chauhan,614-424-4812,chauhan@battelle.org
Boeing Service Company,GS00Q14OADU603,074875162,Debra L. Bowling,972-342-8394,OASIS@boeing.com,Patrick M. Sweeney,410-824-8029,OASIS@boeing.com
"Booz Allen Hamilton, Inc.",GS00Q14OADU604,006928857,Pamela Stevens,703-377-7638,BAHOASISContract@bah.com,Ellis Khan,703-902-4580,BAHOASISContract@bah.com
"CGI Federal, Inc.",GS00Q14OADU605,145969783,Julia Conti,703-227-4652,GSAOASIS@cgifederal.com,Mike Pullen,703-227-4050,GSAOASIS@cgifederal.com
CSC Government Solutions LLC,GS00Q14OADU606,135962137,Laura Childers,571-232-1412,OASISPM@csgov.com,Jana Haas,703-645-5160,OASISPM@csgov.com
Engility Corporation ,GS00Q14OADU620,069341972,Victoria Nguyen,703-984-5052,OASIS@engilitycorp.com,Steve Taylor,978-289-1658,OASIS@engilitycorp.com
"Honeywell Technology Solutions, Inc.",GS00Q14OADU607,041014242,Amy DeRieux,540-413-6954,DL-OASIS@honeywell.com,Kent Pollock,410-964-7087,DL-OASIS@honeywell.com
"Jacobs Technology, Inc.",GS00Q14OADU608,007923014,Dan Sweet,931-393-6697,OASIS@jacobs.com,Shawn Nunn,931-393-6429,OASIS@jacobs.com
"L3 National Security Solutions, Inc.",GS00Q14OADU609,136127482,Ken Logerwell,703-679-3406,CACIOASIS@caci.com,Ted Buford,703-679-4177,CACIOASIS@caci.com
"Leidos, Inc.",GS00Q14OADU610,054781240,Sandra L. Reid,202-386-1703,OASISCOCM@leidos.com,Joseph A. Pastel,571-526-7087,OASISCOPM@leidos.com
"Lockheed Martin Integrated Systems, Inc.",GS00Q14OADU611,836196972,Deirdre T. Johnson,301-306-8043,OASIS-PMO.GR-ISGS@lmco.com,Richard Fanelli,610-517-0461,OASIS-PMO.GR-ISGS@lmco.com
"ManTech Advanced Systems International, Inc.",GS00Q14OADU612,139627525,Jeromy Block,703-218-6440,OASIS@mantech.com,Paula Bayliss,703-633-2458,OASIS@mantech.com
Northrop Grumman Systems Corporation,GS00Q14OADU613,015247885,Linda R. Bavely,703-556-1631,CONTRACTOASIS@ngc.com,Susan M. Bethke,703-556-1632,Susan.Bethke@ngc.com
"Parsons Government Services, Inc",GS00Q14OADU614,006908511,Tondra Fry,626-298-4672,OASIS-CO@parsons.com,Barry Adams,310-956-5229,OASIS-PM@parsons.com
Raytheon Company,GS00Q14OADU615,053387429,Robin A. Klonarides,571-250-1082,GSA_OASIS@raytheon.com,Raymond Moehler,571-250-1090,GSA_OASIS@raytheon.com
Science Applications International Corporation dba SAIC,GS00Q14OADU616,078883327,Sarah Getty,703-676-5335,Sarah.L.Getty@saic.com,Belinda B. Pellegrino,703-676-8719,Belinda.B.Pellegrino@saic.com
Scientific Research Corporation,GS00Q14OADU617,197138274,Jerry Goldbaugh,770-989-9408,OASIS@scires.com,Jeff Bringslid,801-821-7466,OASIS@scires.com
"SGT, Inc.",GS00Q14OADU618,878901396,Julie Smith,301-486-3178,OASIS@sgt-inc.com,Douglas Hayes,301-313-3503,OASIS@sgt-inc.com
Southwest Research Institute,GS00Q14OADU619,007936842,Troy Nagy,210-522-2230,OASIS@swri.org,Janice Dean,210-522-5180,OASIS@swri.org
"Vencore, Inc.",GS00Q14OADU621,965519098,Geoffrey Vance,619-321-6173,GSAOASIS@vencore.com,Chip Taylor,703-460-3301,GSAOASIS@vencore.com
